id;asset;buy_at;sell_at;entry_value;exit_value;operation_type
1;Chicken Rustic back up;2020-12-10;2020-12-11;80847;27567;LONG
2;XSS;2020-12-11;2020-12-11;34663;12681;LONG
3;Polarised users online;2020-12-11;2020-12-11;9388;90354;SHORT
4;well-modulated COM Auto Loan Account;2020-12-11;2020-12-11;68806;31154;LONG
5;Frozen;2020-12-11;2020-12-11;49805;56960;LONG
6;Vietnam;2020-12-11;2020-12-11;74163;86515;LONG
7;benchmark Delaware;2020-12-10;2020-12-10;55007;42429;SHORT
8;Assistant Micronesia FTP;2020-12-11;2020-12-11;24070;34339;SHORT
9;Intelligent Rubber Table Ports Credit Card Account;2020-12-11;2020-12-11;94841;61554;LONG
10;West Virginia;2020-12-11;2020-12-11;79053;76782;SHORT
